id;name;category;main_imagen;images;sizes;price;sku;updated_at;alt_text
30;Pack 3 Cajas de Madera 35x35;Boda;https://pedidos.colorexlab.com/3948-large_default/pack-3-cajas-de-madera-35x35.jpg;"https://pedidos.colorexlab.com/3948-home_default/pack-3-cajas-de-madera-35x35.jpg
https://pedidos.colorexlab.com/3949-home_default/pack-3-cajas-de-madera-35x35.jpg
https://pedidos.colorexlab.com/3950-home_default/pack-3-cajas-de-madera-35x35.jpg";35x35;;;;
31;Pack 4 - Solapa;Boda;https://pedidos.colorexlab.com/2200-large_default/pack-cuatro-solapa.jpg;"https://pedidos.colorexlab.com/2200-home_default/pack-cuatro-solapa.jpg
https://pedidos.colorexlab.com/2201-home_default/pack-cuatro-solapa.jpg
https://pedidos.colorexlab.com/2203-home_default/pack-cuatro-solapa.jpg
https://pedidos.colorexlab.com/5003-home_default/pack-cuatro-solapa.jpg";Álbum 30x30 + 2 Álbumes Familiares 25x25   Álbum 35x25 + 2 Álbumes Familiares 26x20   Álbum 36x29 + 2 Álbumes Familiares 23x20   Álbum 40x30 + 2 Álbumes Familiares 26x19;;;;
32;Pack 5 - Basic;Boda;https://pedidos.colorexlab.com/4237-large_default/pack-cinco-basic.jpg;"https://pedidos.colorexlab.com/4237-home_default/pack-cinco-basic.jpg
https://pedidos.colorexlab.com/2219-home_default/pack-cinco-basic.jpg
https://pedidos.colorexlab.com/2221-home_default/pack-cinco-basic.jpg
https://pedidos.colorexlab.com/2222-home_default/pack-cinco-basic.jpg";30x25;;;;
33;Pack 6 - Editorial 2+1;Boda;https://pedidos.colorexlab.com/4238-large_default/pack-seis-editorial-21.jpg;"https://pedidos.colorexlab.com/4238-home_default/pack-seis-editorial-21.jpg
https://pedidos.colorexlab.com/2238-home_default/pack-seis-editorial-21.jpg
https://pedidos.colorexlab.com/2235-home_default/pack-seis-editorial-21.jpg
https://pedidos.colorexlab.com/2236-home_default/pack-seis-editorial-21.jpg";30x20;;;;
34;Pack 7 - Organic Book;Boda;https://pedidos.colorexlab.com/1085-large_default/pack-siete-organic-book.jpg;"https://pedidos.colorexlab.com/1085-home_default/pack-siete-organic-book.jpg
https://pedidos.colorexlab.com/1086-home_default/pack-siete-organic-book.jpg
https://pedidos.colorexlab.com/1087-home_default/pack-siete-organic-book.jpg
https://pedidos.colorexlab.com/1088-home_default/pack-siete-organic-book.jpg";Álbum 30x30 + 2 Álbumes 25x25   Álbum 35x25 + 2 Álbumes 26x20   Álbum 35x35 + 2 Álbumes 25x25   Álbum 40x30 + 2 Álbumes 26x19;;;;
35;Pack 8 - Paspartú;Boda;https://pedidos.colorexlab.com/2240-large_default/pack-ocho-paspartu.jpg;"https://pedidos.colorexlab.com/2240-home_default/pack-ocho-paspartu.jpg
https://pedidos.colorexlab.com/3922-home_default/pack-ocho-paspartu.jpg
https://pedidos.colorexlab.com/2241-home_default/pack-ocho-paspartu.jpg
https://pedidos.colorexlab.com/2242-home_default/pack-ocho-paspartu.jpg";15x20   20x15   20x20;;;;
36;Pack 9 - Copias Rígidas;Boda;https://pedidos.colorexlab.com/3862-large_default/pack-9-copias-rigidas-boda.jpg;"https://pedidos.colorexlab.com/3862-home_default/pack-9-copias-rigidas-boda.jpg
https://pedidos.colorexlab.com/3864-home_default/pack-9-copias-rigidas-boda.jpg
https://pedidos.colorexlab.com/3861-home_default/pack-9-copias-rigidas-boda.jpg
https://pedidos.colorexlab.com/3865-home_default/pack-9-copias-rigidas-boda.jpg";;;;;
37;Pack Tradicional;Boda;https://pedidos.colorexlab.com/3934-large_default/pack-tradicional-comunion.jpg;"https://pedidos.colorexlab.com/3934-home_default/pack-tradicional-comunion.jpg
https://pedidos.colorexlab.com/3935-home_default/pack-tradicional-comunion.jpg
https://pedidos.colorexlab.com/3936-home_default/pack-tradicional-comunion.jpg
https://pedidos.colorexlab.com/3937-home_default/pack-tradicional-comunion.jpg";33x33   25x36 V;;;;
38;Randall;Boda;https://pedidos.colorexlab.com/1766-large_default/randall.jpg;"https://pedidos.colorexlab.com/1766-home_default/randall.jpg
https://pedidos.colorexlab.com/1765-home_default/randall.jpg
https://pedidos.colorexlab.com/1764-home_default/randall.jpg
https://pedidos.colorexlab.com/1767-home_default/randall.jpg";30x30   35x25   35x35   40x30;;;;
39;Ribbon;Boda;https://pedidos.colorexlab.com/4105-large_default/ribbon.jpg;"https://pedidos.colorexlab.com/4105-home_default/ribbon.jpg
https://pedidos.colorexlab.com/1752-home_default/ribbon.jpg
https://pedidos.colorexlab.com/1751-home_default/ribbon.jpg
https://pedidos.colorexlab.com/1753-home_default/ribbon.jpg";30x30   35x25   40x30;;;;
40;Sensaciones;Boda;https://pedidos.colorexlab.com/625-large_default/sensaciones.jpg;"https://pedidos.colorexlab.com/625-home_default/sensaciones.jpg
https://pedidos.colorexlab.com/4547-home_default/sensaciones.jpg
https://pedidos.colorexlab.com/627-home_default/sensaciones.jpg
https://pedidos.colorexlab.com/632-home_default/sensaciones.jpg";30x30   35x25   36x29   35x35   40x30;;;;
41;Sensaciones Fotopegada;Boda;https://pedidos.colorexlab.com/1380-large_default/sensaciones-fotopegada.jpg;"https://pedidos.colorexlab.com/1380-home_default/sensaciones-fotopegada.jpg
https://pedidos.colorexlab.com/1521-home_default/sensaciones-fotopegada.jpg
https://pedidos.colorexlab.com/1522-home_default/sensaciones-fotopegada.jpg
https://pedidos.colorexlab.com/1523-home_default/sensaciones-fotopegada.jpg";30x25   35x25   35x35;;;;
42;Solapa;Boda;https://pedidos.colorexlab.com/4194-large_default/solapa.jpg;"https://pedidos.colorexlab.com/4194-home_default/solapa.jpg
https://pedidos.colorexlab.com/4195-home_default/solapa.jpg
https://pedidos.colorexlab.com/4196-home_default/solapa.jpg
https://pedidos.colorexlab.com/4197-home_default/solapa.jpg";30x30   35x25   36x29   40x30;;;;
43;Velours;Boda;https://pedidos.colorexlab.com/2501-large_default/velours.jpg;"https://pedidos.colorexlab.com/2501-home_default/velours.jpg
https://pedidos.colorexlab.com/2502-home_default/velours.jpg
https://pedidos.colorexlab.com/2503-home_default/velours.jpg
https://pedidos.colorexlab.com/2504-home_default/velours.jpg";30x30   25x35 V   35x25   36x29   35x35   30x40 V   40x30;;;;
44;Watercolor;Boda;https://pedidos.colorexlab.com/3984-large_default/watercolor.jpg;"https://pedidos.colorexlab.com/3984-home_default/watercolor.jpg
https://pedidos.colorexlab.com/3991-home_default/watercolor.jpg
https://pedidos.colorexlab.com/3983-home_default/watercolor.jpg
https://pedidos.colorexlab.com/3992-home_default/watercolor.jpg";30x30   35x25   36x29   35x35   30x40 V   40x30;;;;
45;Wave;Boda;https://pedidos.colorexlab.com/3960-large_default/wave.jpg;"https://pedidos.colorexlab.com/3960-home_default/wave.jpg
https://pedidos.colorexlab.com/3959-home_default/wave.jpg
https://pedidos.colorexlab.com/4226-home_default/wave.jpg
https://pedidos.colorexlab.com/3961-home_default/wave.jpg";30x30   35x25   40x30;;;;
46;Wood Nature;Boda;https://pedidos.colorexlab.com/4189-large_default/wood-nature.jpg;"https://pedidos.colorexlab.com/4189-home_default/wood-nature.jpg
https://pedidos.colorexlab.com/4188-home_default/wood-nature.jpg
https://pedidos.colorexlab.com/4190-home_default/wood-nature.jpg
https://pedidos.colorexlab.com/4191-home_default/wood-nature.jpg";30x30   35x25   35x35   40x30;;;;
47;Wood Pattern;Boda;https://pedidos.colorexlab.com/4218-large_default/wood-pattern.jpg;"https://pedidos.colorexlab.com/4218-home_default/wood-pattern.jpg
https://pedidos.colorexlab.com/4219-home_default/wood-pattern.jpg
https://pedidos.colorexlab.com/4220-home_default/wood-pattern.jpg
https://pedidos.colorexlab.com/4221-home_default/wood-pattern.jpg";30x30   35x25   35x35   40x30;;;;
48;Wood Print;Boda;https://pedidos.colorexlab.com/1716-large_default/print.jpg;"https://pedidos.colorexlab.com/1716-home_default/print.jpg
https://pedidos.colorexlab.com/3680-home_default/print.jpg
https://pedidos.colorexlab.com/3682-home_default/print.jpg
https://pedidos.colorexlab.com/1718-home_default/print.jpg";30x30   35x25   40x30;;;;
